observationId,metricId,valueDate,value,unit,sourceDefinitionId,releaseAvailableAt,revisionSequence,supersedesObservationId,rawArtifactId
obs-pbc-fa9bb07317c20d27b6d3189546ba19e57f475b18952d289d8c121fe8aa72c1a0,MACRO_AFRE_STOCK_BALANCE,2017-01,161.3437,万亿元,pbc-afre-stock-balance-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-c5be8f976603d56d2877cfa9d5b906e439f57a6dbf9aeab343401bb7e9aa6f27,artifact-r2-5891fa8c3962a9b279a39b52b15333394c6a4948b4a347f934beba7685dae60d
obs-pbc-be771c34569f051468c31a2a25f19fd9eb82f58354f0026d64060598d2d39fa2,MACRO_AFRE_STOCK_BALANCE,2017-01,164.8295,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-fa9bb07317c20d27b6d3189546ba19e57f475b18952d289d8c121fe8aa72c1a0,artifact-r2-8ea1cee4cc4eb710ec4d4c1d42641971390e7de3231266b5b73825259230e2d5
obs-pbc-af21bd3edf0da942483bb1cc75822ec58a5336eb6ad6a9cdc6b7617f0f8b05f4,MACRO_AFRE_STOCK_BALANCE,2017-01,164.9891,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-be771c34569f051468c31a2a25f19fd9eb82f58354f0026d64060598d2d39fa2,artifact-r2-8276b3e14aa1c318d758f9ba4444b0211f2c2c6919e0c11af2b7273e599cecee
obs-pbc-00523fc6fbc0a46ad45d63f33f43ab438baebd5284b82ee7072008727a329e99,MACRO_AFRE_STOCK_BALANCE,2017-02,162.4434,万亿元,pbc-afre-stock-balance-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-d28e7f9fd82f4a4b6c5f4a8a3e4b66d742516d8f3d23e1b15ae346189e8be56e,artifact-r2-ca3a05ffc0ad74e95916b9bebc31a0a48a4cc1c61865f3fb89adecb9d8bd7d99
obs-pbc-c27e32ded66ee41a257c249b5bdbd74894db75241a34d266d5c470a3f3090a9e,MACRO_AFRE_STOCK_BALANCE,2017-02,165.9291,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-00523fc6fbc0a46ad45d63f33f43ab438baebd5284b82ee7072008727a329e99,artifact-r2-a242d748d8af6a348fdbaf4ea5220b3285fd1f376d1220763425b43635d22dd1
obs-pbc-633b90184f7369e01469065156c680f423a491f7e1b9c2232fa24d08ec2831fb,MACRO_AFRE_STOCK_BALANCE,2017-02,166.1124,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-c27e32ded66ee41a257c249b5bdbd74894db75241a34d266d5c470a3f3090a9e,artifact-r2-3b81edd2fd5b1c5f8320257739ef929eeef06296c9b1c9bc8477c487aee311f3
obs-pbc-2c942a25ec40229436ead819539c233d5167ff1a58df2ba5e97a555dbd48cddc,MACRO_AFRE_STOCK_BALANCE,2017-03,164.64700000000002,万亿元,pbc-afre-stock-balance-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-35180097d4a151b5d73be6c30b1f6ab1588b6da9216273d2233526d5893919b6,artifact-r2-138dc42c9d63ab9756c8c407e2ab2da41efb49cd7e9158788e9891a99b4d903c
obs-pbc-dc5882a68e50acd580b8e8cced7b7d35d0cbd9ab9a41a0e71890bde0f23b5de1,MACRO_AFRE_STOCK_BALANCE,2017-03,168.3133,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-2c942a25ec40229436ead819539c233d5167ff1a58df2ba5e97a555dbd48cddc,artifact-r2-67832b06ba1e6239658b27cfb3c3744a601b53dd16cd6c710d6ff91059cf333d
obs-pbc-c6c550d1f33be50c01ff74afb660e33409972edd3a822dc700f4885958f92a7f,MACRO_AFRE_STOCK_BALANCE,2017-03,168.5104,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-dc5882a68e50acd580b8e8cced7b7d35d0cbd9ab9a41a0e71890bde0f23b5de1,artifact-r2-57ce7c19b1a9b5c62e7f591c660d448bad5effb849ec11e89496079aa274fad7
obs-pbc-55c3a67e9ea7a6637d74e794a3b95166ca5bbc4c8074f79f9493dc7ae997c51a,MACRO_AFRE_STOCK_BALANCE,2017-04,165.96640000000002,万亿元,pbc-afre-stock-balance-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-fdc2af533b75529d7299910d789863c3287efb9d192d03652cf7695db6c7d6b9,artifact-r2-64c925ddad2c6d1d041361b6d8a5f19ea324dbd67811fa9420cb98091a60a174
obs-pbc-ec3fedae3d18e370b6d00181cce529542a2fdc396145db497095bcda69152d18,MACRO_AFRE_STOCK_BALANCE,2017-04,169.8347,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-55c3a67e9ea7a6637d74e794a3b95166ca5bbc4c8074f79f9493dc7ae997c51a,artifact-r2-8cb86484342e328e1d0b0773678e40611bd67870d8e1d92a7f1d07f6b65d5d7e
obs-pbc-498ed470a3c73dfa0691b2c4166aa1c417f6bc4f2e376ea289d6b69e3187d407,MACRO_AFRE_STOCK_BALANCE,2017-04,170.0444,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-ec3fedae3d18e370b6d00181cce529542a2fdc396145db497095bcda69152d18,artifact-r2-7617e699cad242ecab97b6c4ad3793a109ce35eefbd41ca913ec51e75522b6e9
obs-pbc-533f762cdf3394ec2610ac4fd44418ee1fc79db95275e4fc18578f7f89c76164,MACRO_AFRE_STOCK_BALANCE,2017-05,167.0461,万亿元,pbc-afre-stock-balance-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-fd0fefda8428913bdb797a989500b193c63c4f3bd742ae6338eb0ce06003436e,artifact-r2-cd7c17378a02eb5314a3f77bc24b585350cbd90d2d86bb2f45b26aee2d532f74
obs-pbc-3505e36799650605488d315e47ae538c53433ef13185720cb34c1b147f6ea133,MACRO_AFRE_STOCK_BALANCE,2017-05,171.1078,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-533f762cdf3394ec2610ac4fd44418ee1fc79db95275e4fc18578f7f89c76164,artifact-r2-672733437072e184154857cc193ab81a5bbc710342aacf757d0d24ffa34f35a9
obs-pbc-a28d8626786a8157c37d34e775f2ab72580c450e3c36cd7e455188074d4df15f,MACRO_AFRE_STOCK_BALANCE,2017-05,171.33020000000002,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-3505e36799650605488d315e47ae538c53433ef13185720cb34c1b147f6ea133,artifact-r2-dba43caf2d777f45593de99eeae84bea9d53b5c7efa64e58e025e6257c3e00fb
obs-pbc-fea9ed57561df94101b246624647fe4f254fc760bc44eaad2cd93761595007ec,MACRO_AFRE_STOCK_BALANCE,2017-06,168.8848,万亿元,pbc-afre-stock-balance-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-d2796571f31640aff9597211314b3a60d212871e3b831e2b762c921bf8df2728,artifact-r2-29de04092dde8602fff216c90e32d4522da3fcded805c8233d6548c65fe8a1c6
obs-pbc-82ddfc5bfc011c44057ef9d20c554cb017fc57fdc806fa33164973a02113a264,MACRO_AFRE_STOCK_BALANCE,2017-06,173.1455,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-fea9ed57561df94101b246624647fe4f254fc760bc44eaad2cd93761595007ec,artifact-r2-5b8539fa666a54d0da24dd65fcba31decd5fa002fa5e759630cf962548d3179d
obs-pbc-73d4136dbeae2b393c4864e98e0cda0f3384da8354d52ab4a63fa56a9de70bde,MACRO_AFRE_STOCK_BALANCE,2017-06,173.38500000000002,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-82ddfc5bfc011c44057ef9d20c554cb017fc57fdc806fa33164973a02113a264,artifact-r2-261ff543fd5fadd955d6ed52f38d652a31d8d71fe2abda4f51b6b8e2a89c4a2e
obs-pbc-9d7cdfdc3bada2a16e7f401a5b56f853e283a95ada38e26378843e3a992773e2,MACRO_AFRE_STOCK_BALANCE,2017-07,169.9453,万亿元,pbc-afre-stock-balance-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-b3b8a7fb91ad20cfb0403dde009072615acef096383376bd5709e990d62165ae,artifact-r2-5679c9354d020cd6c34a29c416f8c08cd657f2b1514115389d7a93f57b27105a
obs-pbc-07c71fc46787491425103461fa8c44d8a4f6b25be51c1e35e6a7d143ffbcec51,MACRO_AFRE_STOCK_BALANCE,2017-07,174.5387,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-9d7cdfdc3bada2a16e7f401a5b56f853e283a95ada38e26378843e3a992773e2,artifact-r2-a2ba3f87035d394a95dd0240729e3727bc4ad6c7b16e86591a0ddd469f2ac797
obs-pbc-f63c96306adf60cf3b6cd1c47936ba153d15af2f5d7f8298400496a620c1e111,MACRO_AFRE_STOCK_BALANCE,2017-07,174.7827,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-07c71fc46787491425103461fa8c44d8a4f6b25be51c1e35e6a7d143ffbcec51,artifact-r2-69b92dcb8186aa8620910fd90256d35ddc5ce577679974569e99e078d103a55b
obs-pbc-aefa250e9b612f1631f0fab526471a9cd61c426cd950abd93215e28f2db1fc7f,MACRO_AFRE_STOCK_BALANCE,2017-08,171.4207,万亿元,pbc-afre-stock-balance-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-f1e9e8d83ec25eee7ad5d6770740e9e4ad8cb557f9d6b8522704a2ce7e5bcd09,artifact-r2-72ba6f85adfe1a6be30349ffe0f548ed9f3d7c92b1560cd15cd5cb7ccfefc930
obs-pbc-b1278ce58f99c2e08e32ca7979f58f75b0c855f422e416e650e86c3c172153b6,MACRO_AFRE_STOCK_BALANCE,2017-08,176.2064,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-aefa250e9b612f1631f0fab526471a9cd61c426cd950abd93215e28f2db1fc7f,artifact-r2-0714a7a5af593da2d22d205ce7210f611121cc2c989d8432f02b8ed6592b8012
obs-pbc-c262c813f4067025be823e3046301e5c7fd3b76df35a595e766c5f9197b96067,MACRO_AFRE_STOCK_BALANCE,2017-08,176.49530000000001,万亿元,pbc-afre-stock-balance-2019-09-backcast-v1,2019-10-15T16:30:02+08:00,3,obs-pbc-b1278ce58f99c2e08e32ca7979f58f75b0c855f422e416e650e86c3c172153b6,artifact-r2-efbcaab58b44ee42ad75efcc3166b8fc4eedf1e9189e3f6716fd3279ffc31cad
obs-pbc-05a0184c79d70f7ba90b0deadecbc613309689e557951e56fbb344348c2385f5,MACRO_AFRE_STOCK_BALANCE,2017-09,173.3625,万亿元,pbc-afre-stock-balance-2018-07-backcast-v1,2018-08-13T19:25:12+08:00,1,obs-pbc-c2faf014f83d0cebf1df88e9504482e07263ae09e6acf555bcf6b7d79b7c2d1e,artifact-r2-8767b9e72f7a5928deb29d4e2f241e5d939ea6d0ea8b85a488b627ba27bee518
obs-pbc-14c3ac042934ef9ede4865fd66b7cfd5030b9a8a3187f73192dcfd060abcc463,MACRO_AFRE_STOCK_BALANCE,2017-09,178.3999,万亿元,pbc-afre-stock-balance-2018-09-backcast-v1,2018-10-17T16:00:01+08:00,2,obs-pbc-05a0184c79d70f7ba90b0deadecbc613309689e557951e56fbb344348c2385f5,artifact-r2-d85cc93a2f380e7507f54f76bbe650afa2b69349af952b36315ceaddf5df77b6
